Oud_artikelnummer;Vervangend_artikelnummer;Vervanger_staat_apart_in_shop;Vervanger_productstatus
77336008000;77336008200;nee;
77403990000;77403990100;ja;draft
77432900100;77432900300;ja;active+draft
77432900200;77432900300;ja;active+draft
77432960000;77432961000;ja;active
77508190100;77508190200;ja;draft
77508190300;77508190400;ja;active
77512950000;77512950200;ja;active
77512950100;77512950300;ja;active
7770103202204;7900103202204;nee;
7770103412204;7720113402204;nee;
7770109400004;7770109410004;ja;active
7770109400028;7770109410028;ja;active
77701094000EB;77701094100EB;ja;active
7770113202204;7770123202204;nee;
7770207900004;7770217900004;ja;draft
7770207900004;79602084144;ja;active
7770207900004;7960218204404;ja;active
7770207900030;79602084144;ja;active
7770207900030;7960218204430;ja;active
7770207910028;79602084144;ja;active
7770207910028;7960218204428;ja;active
7770207910030;79602084144;ja;active
7770207910030;7960218204430;ja;active
7770217900004;79602084044;ja;active
7770217900004;7960218204404;ja;active
7770217900028;79602084144;ja;active
7770217900028;7960218204428;ja;active
7770217900030;79602084144;ja;active
7770217900030;7960218204430;ja;active
77702179000EB;79602084144;ja;active
77702179000EB;79602182044EB;ja;active
7770297900004;77702979144;ja;active
7770297900004;7810297905004;ja;active
77705907000;77705907100;ja;active
77707908044;77707908244;ja;active
77707908144;77707908244;ja;active
7770898800028;7870898800028;ja;draft
7770898800030;7870898800030;ja;draft
7770898800038;7870898800038;ja;draft
7770898800080;7870898800080;ja;draft
77708990100;77708990200;ja;draft
7771397501030;77713975044;ja;active+draft
77713975020;77713975120;ja;active
7771397511030;24013086000;nee;
7771397511030;7771397521030;nee;
77729030000;77729030200;ja;active
77729030100;77729030200;ja;active
77732010110;78132010110;ja;active
77734931044;77734931144;ja;active
77735936044;77735936244;ja;draft
77805907000;77805907100;ja;active+draft
7800109410020;7800109420028;ja;active
7800109410030;7800109420030;ja;active
7800200500030;7800290500030;ja;active
7800207910028;7800207920028;ja;active
7800207910030;7800207920030;ja;active
7800283120004;7870293104404;ja;active
78003002010;0025060166;ja;active
78003002010;0025060206;ja;active
78003002010;78103002010;ja;active
78003002020;0025060166;ja;active
78003002020;0025060206;ja;active
78003002020;78103002020;ja;active
78003190000;78003190100;ja;draft
78003940010;78003940030;ja;active+draft
78003940144;78003940244;ja;active+draft
7800407010004;7810407010004;ja;active
7800906100030;7800906101030;ja;active
7800906100030;78009961050;ja;active
7800906110030;7800906101030;ja;active
7800906110030;78009961050;ja;active
78010010144;26510010144;ja;active
78010010244;25010010144;ja;active
78010166100;78010266100;ja;active
78010167118;78010267118;ja;active
78010960000;25010960000;ja;active
78011065100;78011065200;nee;
78012016000;78112916000;ja;active
78012916000;78712916000;ja;active
78012917000;78712917000;ja;active+draft
7801380200004;7801380220004;ja;draft
78013900000;78113900100;ja;active
78013900100;78113900100;ja;active
7802906200030;7802996200030;ja;active
78029063000;A54029963000;ja;active
78039205000;78039205100;nee;
78040022000;78940022000;nee;
78101900000;78101900100;ja;active
78101900000;79101900100;ja;active
78101900100;79101900100;ja;active
7810297900004;78102979044;ja;draft
7810297900004;7810297905004;ja;active
78102994000;78102994100;ja;draft
78103190000;78103190100;ja;draft
78103990000;78103990100;ja;draft
78104974000;78104974200;ja;active
78104974100;78104974200;ja;active
7810499400030;7810499410030;ja;active
78105981000;78105981100;ja;active
78107908044;78107908144;ja;active
78107990000;78107990100;ja;active
78108916000;78108916200;ja;active+draft
78108916100;78108916200;ja;active+draft
78110945000;78110945100;ja;active
78111949000;78111994000;ja;active
78112920000;78112920100;ja;active
7811297300099;7811297310099;ja;active
78112978000;78112978200;ja;active
78112978050;78112978150;ja;active+draft
78112978100;78112978200;ja;active
78113900000;78113900100;ja;active
7811390204404;7871390204404;ja;active
78113975044;78113975244;ja;draft
78113975144;78113975244;ja;draft
7811399200004;7871399204404;ja;active
78129955000;78129955100;ja;active
78129983000;78129984000;ja;active
78132002111;78132002244;ja;active
78132002200;78132002244;ja;active
78132002300;78132002244;ja;active
78132018000;78132018100;ja;active
78132900100;78132900300;ja;active+draft
78132900200;78132900300;ja;active+draft
78135936000;78135936100;ja;active
78135941044;78135941244;ja;active
78708990200;78708990600;ja;draft
78901939044;79701939044;ja;active
78901939144;79701939144;ja;active
78901939244;79701939244;ja;active
78901939344;79701939344;ja;active
78901939444;79701939444;ja;active
78905907000;78905907100;ja;active+draft
7891000104430;2611000104430;ja;active
78910960000;78910960100;ja;active
78913914000;78913914100;ja;active
78913975044;24013086000;nee;
78913975044;78913975144;ja;active
78913975044;79113975033;nee;
78913975144;24013086000;nee;
78913975144;79113975033;nee;
78913975144;79113975044;ja;active
78929955000;78929955100;ja;active
78930007210 I;79430107110 I;ja;active
78930007210 II;79430107110 II;ja;active
78930007310 I;79430107110 I;ja;active
78930007310 II;79430107110 II;ja;active
78936030010;78936030110;ja;active
79001940044;79001940144;ja;active
79001996000;A54001996000FAA;ja;active
79002013000;79002013100;ja;active
79002121100;79002121200;ja;active
79002924000;79002924100;ja;active
79004905000;A54004905000FAA;ja;active
79005078640;79105081085;nee;
79005078640;A49005081086;nee;
79005900044;25005900144;ja;active+draft
79005900144;25005900144;ja;active+draft
79005979000;79005979100;ja;active+draft
79005989080;SXS12350509;ja;active
7900699800004;7900699810004;ja;active
79006998044;7900699810004;ja;active
79008990000;79008990100;ja;active
7900990104404;A4600990114404;nee;
7900990114404;A4600990114404;nee;
7900990114430;A46009901044C1;ja;active+draft
7900991004404;7900991014404;nee;
7900996100030;7800906101030;ja;active
7900996100030;79009961050;ja;active
7900998106004;7900998126004;ja;active
7900998106068;7900998126068;nee;
79009981060C1;79009981260C1;ja;active
7900998116004;7900998126004;ja;active
79009981160C1;79009981260C1;ja;active
7901090104404;7901090114404;ja;active
7901090204404;7901090214404;ja;draft
7901091004404;7901091024404;nee;
7901091014404;7901091034404;nee;
79010965118EB;A46010965118EB;ja;active
79011153000;79011055100;ja;active
79011153000;79011056100;ja;active
79011153000;79111053000;ja;active
79011955044;79011055100;ja;active
79011955044;79011056100;ja;active
79012906000;79012906200;ja;active
79012906100;79012906200;ja;active
79012950100;79012950200;ja;active
79032975044;79003996000;ja;active
79032975044;79032975000;ja;active
79039074000;79039974144;ja;active
79039974044;79039974144;ja;active
79101900000;79101900100;ja;active
79101996000;A54001996500FAA;ja;active
7910297900028;79102984000;ja;active
7910297900028;7960218204428;ja;active
7910297900030;79102984000;ja;active
7910297900030;7960218204430;ja;active
79102979000AB;79102984000;ja;active
79102979000AB;79602182044AB;ja;active
79102979000EB;79102984000;ja;active
79102979000EB;79602182044EB;ja;active
79103002000;0025050126;ja;active
79103002000;79103002100;ja;active
7910309400030;7910309410030;ja;active
79103094000EB;79103094100EB;ja;active
79103990044;A54003990644;ja;active
79103994000;79103994000EB1;ja;active
79104082030;0760243050;ja;active
79104082030;77204080020;ja;active
79104082032;0760253270;ja;active
79104082032;77204080130;ja;active
79107913044;79107913144;ja;active
79108007000EB;79108007100EB;ja;active
7910907200004;A4800907200004S;nee;
7910907200004S;A4800907200004S;nee;
7910907200030S;A48009072000C1S;ja;active
7910907200068;7910907200068S;ja;active
7910907200068S;7710907200068;nee;
79109998000;79109998100;ja;active
79113975044;24013086000;nee;
79113975044;79113975033;nee;
79114086000;79114086100;ja;active
79129941000;79129941100;ja;active
79129955000BJC;79129955000BJ;ja;active
79129955000BJC;79129955014;ja;active
79129955000EBA;79129955000EB;ja;active
79129955000EBA;79129955011;nee;
7913503400028;79135034000AB;ja;active
79139090000;79139190000;ja;active
79205900044;25505900144;ja;active+draft
79205900144;25505900144;ja;active+draft
79229048000;79229048100;ja;active
79230125000;79230125100;ja;active
79230926044;25530826000;ja;active+draft
79232910000;79232910100;nee;
79233029013;A46033029013;ja;active
79233029014;A46033029014;ja;active
79403994000;79403994100;ja;active
7940399400030;7940399410030;ja;active
79403994000EB;79403994100EB;ja;active
79405900044;26105900044;ja;active+draft
79405979000;79405979100;ja;draft
79406226033;79406226133;nee;
7940898800028;7960898800028;ja;active
7940898800030;7960898800030;ja;active
79408990500;79408990600;ja;draft
79412910000;79619910000;ja;active
79412966000;79412966100;ja;active
79413051000;A48013051000;ja;active
79419910000;79619910000;ja;active
79430107010 I;79430107110 I;ja;active
79430107010 II;79430107110 II;ja;active
79430920044;2213092004404;ja;active
79432900000;79432900100;ja;active+draft
79432975044;79403996000;ja;active
79432975044;79432975000;ja;active
79433010000;79533510000;nee;
79433013100;79533013000;nee;
79434015000;0012060303;ja;active
79434015000;79434015100;nee;
79435952044;79435952144;ja;active
79503990044;A54003990744;ja;active
79532102010;79532102110;ja;active
79532102030;79532102130;ja;active
79601905000;79601905000T;ja;active
79602084044;79602084144;ja;active
7960297900028;79602084144;ja;active
7960297900028;7960218204428;ja;active
7960297900030;79602084144;ja;active
7960297900030;7960218204430;ja;active
79602979000AB;79602084144;ja;active
79602979000AB;79602182044AB;ja;active
79602979000EB;79602084144;ja;active
79602979000EB;79602182044EB;ja;active
79604905000;A54004905500FAA;ja;active
79607913044;79607913133;ja;draft
79608052000;79608152000;ja;active
79608978000;79608978100;ja;active
79609917000C1;79609917100C1;ja;active
79609917000EB;79609917100EB;ja;active
79609919000C1;77709916044;nee;
79609919000C1;79609917100C1;ja;active
79609919000EB;77709916044;nee;
79609919000EB;79609917100EB;ja;active
79610915000EB;79610915100EB;ja;active
79610917000EB;79610917100EB;ja;active
79610919000EB;78010916044;nee;
79610919000EB;79610917100EB;ja;active
79610919100C1;78010916044;nee;
79610919100C1;79610917100C1;ja;active
79612955044;79612955244;nee;
79612955144;79612955244;nee;
79612955500;79612955600;nee;
79612955544;79612955600;nee;
79612955544;81203023044;nee;
79613975044;24013086000;nee;
79613975044;79613975033;nee;
79614901000;79614901100;ja;active
79629974000;A54029974000;ja;active
7970297900028;7960218204428;ja;active
7970297900028;79702984044;ja;active
7970297900030;7960218204430;ja;active
7970297900030;79702984044;ja;active
79702979000AB;79602182044AB;ja;active
79702979000AB;79702984044;ja;active
79702979000EB;79602182044EB;ja;active
79702979000EB;79702984044;ja;active
79705081000;79705081200;nee;
79707088100;79707088400;nee;
79707088200;79707088400;nee;
79707913044;79707913144;ja;active
79712919000;79707940000;nee;
79712919000;79712919010;nee;
79712919000;79712919150;ja;active
80307908044;80307908144;ja;draft
80312002000;3HS210075100;ja;active
81210072000;81210072200;ja;active
81210072100;81210072200;ja;active
8121027000030;8121027010030;ja;active
81212016000;81212016100;ja;active
81214050050;79014950044;ja;active
81235941044;81235941144;ja;active
8130199400049;7900199400049;ja;active
81301996000;A54001996000FAA;ja;active
8130199902268;2620199902168;ja;active
81302033000;81302933044;ja;active
8130290100068;2510290100068;ja;active
81312905000;A54012905000FAA;ja;active+draft
81312906000;81312906100;ja;draft
81312907100;81312907200;nee;
81312920000;81312920100;ja;active
81313975144;26113975044;ja;active
81313975244;26113975044;ja;active
81338941500;25538941044;ja;active
83061050044;8306105004401;nee;
90102979044AB;76502979050AB;ja;active
90102979044AB;76502979144;ja;active
90102979044AB;90112979100;ja;active
90102979044EB;76502979050EB;ja;active
90102979044EB;76502979144;ja;active
90102979044EB;90112979100;ja;active
9010297924430;7650297905030;ja;active
9010297924430;76502979144;ja;active
9010297924430;90112979100;ja;active
9010297934430;6030217910030;ja;active
9010297934430;90112979100;ja;active
9010297944404;7800207910004;ja;active
9010297944404;90112979100;ja;active
9010297944430;7800207920030;ja;active
9010297944430;90112979100;ja;active
90103041033;93003042000;nee;
90103041033;93003141033;nee;
9010394004401S;6900314010001S;ja;active
9010394004401S;6900314110001S;ja;active
9010394004433S;6900314010033S;ja;active
9010394004433S;6900314110033S;nee;
90108999200;90608999000;ja;draft
90110015100;00050002115;ja;active
90112078000;61712978000;ja;active
90112927044;90112927144;ja;active
90112935000;90112935100;ja;active
90112979000;90112979100;ja;active
90114126000;91214025000;ja;active
90205999000;90805999100;ja;draft
90207940000;90207940100;ja;active
9021296804404;9021296814404;ja;draft
9021296814433;90212968244C1;ja;active
90212968144EB;90212968244EB;ja;active
90238035000;90238034000;nee;
90502931044;90502931244;ja;active
90502931144;90502931244;ja;active
90504965000;90504965100;ja;active
90505999000;90505999100;ja;draft
90507940000;90507940100;ja;active
90508908000;90508908044;ja;active
90508920000;90508920100;ja;draft
90508920044;90508920144;ja;draft
90513950044;93013950144;ja;active
90605999000;90505999100;ja;draft
9061296804404;9061296814404;ja;active
9061296814433;90612968244C1;ja;active
90612968144EB;90612968244EB;ja;active
90803937044;90803937144;ja;draft
90805950044;90805950144;ja;draft
90805999000;90805999100;ja;draft
90813030000;96313030000;nee;
91410098S;S809900029S0000;ja;active
91410099S;S809900030S0000;ja;active
91410100S;S809900031S0000;ja;active
91410101S;S809900032S0000;ja;active
91410102S;S809900033S0000;ja;active
91410103S;S809900034S0000;ja;active
91410104S;S809900035S0000;ja;active
91410105S;S809900036S0000;ja;active
91410106S;S809900037S0000;ja;active
93007955100;93007940044;ja;active
93007955100;93007998100;nee;
93007955200;93007940044;ja;active
93007955200;93007998000;nee;
93009960044;93009960010;nee;
93009960044;93309960000;ja;active
93012008000;93012908000;nee;
93012009000;93012909000;nee;
93012541000;93012041000;ja;active
93012908044;93012909044;ja;active
93012919033;93012919233;ja;active
93012919133;93012919233;ja;active
93013950044;93013950144;ja;active
94512908044C1;94512908000C1;nee;
94512908044C1;94512909000C1;nee;
94512969044;94512969044C1;ja;active
95809901044C1;60710073000;ja;active
95809901044C1;95809002133C1;nee;
95809901044C1;95809968144;nee;
95809901044C1;95809973000;nee;
95809901044C1;95810002133C1;nee;
95812925044;79712919150;ja;active
95812925044;95812913150;nee;
95812925044;95812925010;nee;
95812927044;95812927144;ja;active
95812932044;95812932144;ja;active
95812968044EB;95812968244EB;ja;active
96005979000;96005979200;ja;active
96005979100;96005979200;ja;active
96005979500;96005979600;ja;active
96005979500C1;96005979600C1;ja;active
96007940044;00010000419;nee;
96007940044;96007940100C1A;ja;active
96008915144C1;61708916144;ja;active
96008915144C1;96008915133;nee;
9630297908830;7650297905030;ja;active
9630297908830;76502979144;ja;active
9630297908830;96302979044;nee;
96302979088AB;76502979050AB;ja;active
96302979088AB;76502979144;ja;active
96302979088AB;96302979044;nee;
96302979088EB;76502979050EB;ja;active
96302979088EB;76502979144;ja;active
96302979088EB;96302979044;nee;
96307940044;96007040000C1;nee;
96307940044;96007047040CA;nee;
96308975033;96308975133;ja;active
96312955044;96303923000C1;nee;
96312955044;Z10008;nee;
A39032066000;A59032066000;nee;
A40033001000;A40033001100;ja;active
A40033010000;A40033010100;nee;
A40508007000EB;A40508007000EBA;nee;
A42002979000AB;79602182044AB;ja;active
A42002979000AB;A46002979050;nee;
A42002979000C1;7960218204430;ja;active
A42002979000C1;A46002979050;nee;
A42002979000EB;79602182044EB;ja;active
A42002979000EB;A46002979050;nee;
A42003090544;A42003090044;ja;active
A42003090544;A46003090020;ja;active
A42006906044;A46006906033;nee;
A42006906044;A48006015000A;ja;active
A42006906044;A48006016100;nee;
A42012954044;A42005907500;ja;active
A42012954044;A42012954033;nee;
A42012954544;A42005907500;ja;active
A42012954544;A42005979000;ja;active
A42012954544;A42012954033;nee;
A42012954744;A42005907001;ja;active
A42012954744;A42005979003;ja;active
A42012954744;A42012954033;nee;
A44003090544;A44003090044;ja;active
A44003090544;A46003090020;ja;active
A44006906044;A45005979000;ja;active
A44006906044;A49003002050;nee;
A44030994044;A48030994144;ja;active
A45030007110 I;A45030007010 I;nee;
A45030238000;A45030338000;nee;
A46002922044;A46002925144;nee;
A46002922044;A54007930000C1;ja;active
A46002922044;AP10C203W200200;nee;
A46003012044C1;A46003013000C1;nee;
A46003012044C1;A46003014000C1;nee;
A46003040000;A46003140000;ja;active
A46003090544;A46003090020;ja;active
A46003090544;A46003090044;ja;active
A46003912044C1;A46003013100C1;nee;
A46003912044C1;A46003014100C1;nee;
A46003990044;A46003990144;ja;active
A46003990544;A46003090020;ja;active
A46003990544;A46003990144;ja;active
A46006906044;A46006906033;nee;
A46006906044;A47005979000;ja;active
A46006906044;A48006015000A;ja;active
A46006906044;A48006016000;nee;
A46006906544;A46006906033;nee;
A46006906544;A47005979500;nee;
A46006906544;A48006015000A;ja;active
A46006906544;A48006016000;nee;
A46007012000;A46007012100;ja;active
A4600990104404;A4600990114404;nee;
A46010917000C1;A46010917100C1;ja;active
A46010919000C1;A46010015010;ja;active
A46010919000C1;A46010917100C1;ja;active
A46010919000EB;A46010015010;ja;active
A46010919000EB;A46010917000EB;ja;active
A46010919100C1;A46010015010;ja;active
A46010919100C1;A46010917100C1;ja;active
A46013050044;A46013050144;ja;active
A46013975044;24013086000;nee;
A46013975044;A46013975010C1;ja;active
A46014986044;A46014986033;ja;active
A46014986044;A46014987033;ja;active
A46014986088EB;A46008010144EB;ja;active
A46014986088EB;A46014986033;ja;active
A46014986088EB;A46014987033;ja;active
A46030994044;A48030994144;ja;active
A46034015000;A46034115000;nee;
A48013050044;A46013050144;ja;active
A48030994044;A48030994144;ja;active
A48035024000;A48035124000;nee;
A49002979000AB;79602084144;ja;active
A49002979000AB;A49002082044AB;nee;
A49002979000C1;79602084144;ja;active
A49002979000C1;A49002082044C1;nee;
A49002979000EB;79602084144;ja;active
A49002979000EB;A49002082044EB;ja;active
A4901397504404;24013086000;nee;
A4901397504404;A4901397503304;ja;active
A4901397504430;24013086000;nee;
A4901397504430;A49013975033C1;nee;
A490C467X311220;A490C467Y311220;ja;active
A54029994000;A54029994000C1;ja;active
A54102979000AB;A49002082044AB;nee;
A54102979000AB;A54002084044;nee;
A60103937044;76203040250;ja;active
A60103937044;76203041250;ja;active
A60103937044;A60103937088;nee;
A60112925044;95812922200;nee;
A60112925044;A60112923001;nee;
A60112925088;A60112922088;nee;
A60112925088;A60112923088;nee;
A60112964044;44011076140;ja;active
A60112964044;96011944044;ja;active
A60112964044;A60112964030;nee;
A60303937044;A60103937088;nee;
A60303937044;A62603940044;ja;active
A60303937044;A62603941044;ja;active
A60602902044;A60602902000;nee;
A60602902044;A60602902088;nee;
A60703937044;61703943044;ja;active
A60703937044;A60703942044;ja;active
A60705979000;A60705979100;ja;active
A60705999044;A60705999000;ja;active
A60705999044;A60715910044;ja;active
A60707947000;A60707947000C1C;ja;active
A60708907044;A60708907088;nee;
A60708907044;A62408907000;nee;
A60708908044;A60708908000;ja;active
A60708908044;A60708908088;ja;active
A60708908544;A60708908588;ja;active
A60708908544;A62408908100;ja;active
A60708908644;A60708908588;ja;active
A60708908644;A6240890860001A;ja;active
A60708915044;61708916144;ja;active
A60708915044;A60708915033;ja;active
A60708920444;A60708920033;ja;active
A60708920444;A60708920100;ja;active
A60708954044;A60708950033;ja;active
A60708954044;A60708951033;ja;active
A60708954044;A60708954033;ja;active
A60712955044;64103923000;nee;
A60712955044;Z10007;ja;active
A60735933044;A60735931033;ja;active
A60735933044;A60735932033;ja;active
A61001994044;A61001092010;nee;
A61001994044;A61001093010;nee;
A61007925044;A61007925010;ja;active
A61007925044;A61007925020;ja;active
A61008908044;A61008008000;ja;active
A61008908044;A61014912044;ja;active
A61008908088;A61008108000;ja;active
A61008908088;A61014912044;ja;active
A61011953044;A61011953144;ja;active
A61014986044;A60714986044;ja;active
A61014986044;A61014987044;ja;active
A61029974044;A61029974000;ja;active
A61029974044;A61029974080;ja;active
A61029974144;A61029974000;ja;active
A61029974144;A61029974180;ja;active
A61029974244;A61029974000;ja;active
A61029974244;A61029974280;ja;active
A61029974344;A61029974000;ja;active
A61029974344;A61029974380;ja;active
A61029974444;A61029974000;ja;active
A61029974444;A61029974480;ja;active
A62405999000;61305922144;ja;active
A62405999000;61705999044;ja;active
A62405999000;A62405915044;nee;
A62408907044;00010000418;nee;
A62408907044;A62408907000;nee;
A62408908044;A62408908040;ja;active
A62408908044;A62408908100;ja;active
A6240890804449;A62408908040;ja;active
A6240890804449;A6240890860001A;ja;active
A62408908144;A60708908000;ja;active
A62408908144;A62408908188;ja;active
A62408931088;A62408956188;ja;active
A62408931088;A62408957188;ja;active
A62409960044;A62409960000;ja;active
A62409960044;A62409965000;nee;
A62412940044;A62412940001;nee;
A62412940044;A62412941001;nee;
A62412992010;A62412992110;ja;active
A62412993030;A62412993130;ja;active
A62603940088;A62603940044;ja;active
A62603940088;A62603941044;ja;active
A62608960044;A62608960088;ja;active
A62608960044;A62608961088;ja;active
A62612068044EB;A62612168044EB;ja;active
A62612168044C1;A62612168088C1;nee;
A62612168044C1;A62612969088;nee;
A62612168044EB;A62612168088EB;nee;
A62612168044EB;A62612969088;nee;
A62612922088;A62612922188;nee;
A62612923088;A62612923188;nee;
A62612925044;61912908050;ja;active
A62612925044;A62612922044;ja;active
A62612925044;A62612923044;ja;active
A62612925088;61912908050;ja;active
A62612925088;A62612922188;nee;
A62612925088;A62612923188;nee;
A62612927088;A62612927188;ja;active
A62612968044EB;A62612968088EB;nee;
A62612968044EB;A62612969088;nee;
A6403894100004A;A6403894100004;ja;active
A65408915044;61708916144;ja;active
A65408915044;A65408915088;nee;
A66008908044;A6240890860001A;ja;active
A66008908044;A66008908588;ja;draft
A66008908544;A62408908100;ja;active
A66008908544;A66008908588;ja;draft
A66008908644;A60708908000;ja;active
A66008908644;A66008908688;ja;draft
A67402907044;A67402805000C1;nee;
A67402907044;A67402806000C1;nee;
A67403937000;A67403860000C1;nee;
A67403937000;A67403860010C1;nee;
A67403937000;A67403937044;nee;
A67405899044;A67405807000;nee;
A67405899044;A67405883000;nee;
A67405899044;A67415910044;nee;
A67405999044;A60705999000;ja;active
A67405999044;A67415910044;nee;
A67407925044;A67407925001;nee;
A67407925044;A67407925002;nee;
A67407925044;A67407925004;nee;
A67408930044;A67408931044;nee;
A67408930044;A67408932044;nee;
A67412919044;A67412919051;nee;
A67412919044;A67412919088;nee;
A67508908044;A67508008033CBA;nee;
A67508908044;A67514012000;nee;
A67508920044;A60708920100;ja;active
A67508920044;A67508920088;ja;active
A67908908044;A60708908000;ja;active
A67908908044;A67908908088;ja;active
A67908908544;A62408908100;ja;active
A67908908544;A67908908588;ja;active
A67908908644;A6240890860001A;ja;active
A67908908644;A67908908588;ja;active
A67912955044;64103123000C1;nee;
A67912955044;Z10009;ja;active
A68113929044;A68113029020;ja;active
A68113929044;A68113929015;ja;active
AP06C100U001221;AP06C100U001220;ja;active+draft
AP06C100U001221;S838820002S0000;nee;
C0000250603000S;0025060306S;ja;active
R12012;46180010;nee;
R12012;R12012T;ja;active
R12025;46180010;nee;
R12025;R12012T;ja;active
R14033;R14033T;ja;active
R14041;00501020S1T;nee;
R14041;R14047T;ja;active
R14041;RP10048T;ja;active
R14042;R14042T;ja;active
R14046;RP10048T;ja;active
R14047;R14047T;ja;active
R14062;R14062T;nee;
R14063;R14047T;ja;active
R14063;RP10048T;ja;active
R15006;46180010;nee;
R15006;R12012T;ja;active
R24002;R24002T;nee;
R516;R516T;ja;active
RP10006;RP10006T;ja;active
RP10007;RP10027T;ja;active
RP10011;46180007;nee;
RP10011;R12012T;ja;active
RP10012;RP10048T;ja;active
ST930000000;ST930000100;ja;active
SXS04065100;46301996000;ja;active
SXS04085100;47201996100FAA;ja;active
SXS04250502;SXS04250512;ja;active
SXS05450200;2213092004404;ja;active
SXS05450600;78112920100;ja;active
SXS07250512;77405981000;ja;draft
SXS07450255;77338941044;ja;active
SXS07450504;SXS11450505;ja;draft
SXS07450505;SXS11450506;ja;active
SXS08085500;SXS12085500;ja;active
SXS08125610;79101900100;ja;active
SXS08450512;SXS10450512;ja;active
SXS08530512;78105981100;ja;active
SXS09050500;45305307000;ja;draft
SXS09300245;54837905044;ja;active
SXS09450210;60402933144;ja;active
SXS09450512;SXS13450513;ja;draft
SXS11125007;SXS14125007;ja;active
SXS11150560;50305981000;ja;active+draft
SXS11250700;78107908144;ja;active
SXS11300510;55105994100;ja;active
SXS11450255;77338941044;ja;active
SXS11530512;78105981100;ja;active
SXS12150560;50305981000;ja;active+draft
SXS12250512;77405981000;ja;draft
SXS12250560;55105981000;ja;active+draft
SXS12350550;77405907000;ja;active+draft
SXS12450550;78105909000;ja;active+draft
SXS12450600;78112920100;ja;active
SXS12500512;78105981100;ja;active
SXS12500550;78105909000;ja;active+draft
SXS12540100;A54001996000FAA;ja;active
SXS13050034;45330326066;ja;active
SXS13050132;45330302100;ja;active
SXS13065032;SXS14065032;ja;active
SXS13085032;SXS14085032;ja;draft
SXS13085035;SXS14085035;ja;draft
SXS13085044;SXS15085044;ja;active+draft
SXS13085050;SXS15085044;ja;active+draft
SXS13105000;SXS16105000;ja;active+draft
SXS13125050;SXS13125044;ja;active+draft
SXS13250050;SXS13250044;ja;active+draft
SXS13300050;SXS13300044;ja;active+draft
SXS13450460;7910199902104;ja;active
SXS13450512;SXS13450513;ja;draft
SXS13540100;A54001996000FAA;ja;active
SXS14050132;45330302100;ja;active
SXS14125200;SXS07125200;ja;active
SXS16125007;50530938000;ja;active+draft
SXS17300090;55639031100;ja;active
T1240S;T15085;ja;active
T14015;T14015S;ja;active
T14073S;T14073;ja;active
T506;T506S;ja;active
T511;T14034;ja;active
T529;T529S;nee;
U6907834;7900199400049;ja;active
U6907846;79013961000;ja;active
U6908840;7771097605004;ja;active
U6909807;T14047;ja;active
U6910016;55102925000;ja;draft
U6910017;78102925000;ja;active
U6910046;77512950200;ja;active
U6910047;79412950000;ja;active
U6910052;U6912012;ja;draft
U6910054;U6912014;nee;
U6910061;7720399400030;ja;draft
U6910066;77719910000;ja;draft
U6912026;4710399400004;ja;draft
U6950996;U6912010;ja;active
U6951045;78129984000;ja;active
U6951087;79109998100;ja;active
U6951126;00029996100;ja;active
U6951345;78112964000;ja;active
U6951439;7771097615004;ja;active
U6951562;7811297310099;ja;active
U6955037;77512950300;ja;active
UPP1505013;79005907500;ja;active+draft
UPP1505015;79005907500;ja;active+draft
UPW1929300/01;UPW192930001;nee;
UPW1929300/02;UPW192930002;nee;
UPW1929300/03;UPW192930003;nee;
UPW1929300/04;UPW192930004;nee;
UPW1929300/05;UPW192930005;nee;
UPW1929300/06;UPW192930006;nee;
UPW1929300/10;UPW192930010;nee;
UPW1929300/11;UPW192930011;nee;
UPW1929300/12;UPW192930012;nee;
UPW1929300/13;UPW192930013;nee;
UPW1929300/14;UPW192930014;nee;
WP170072INT;WP210009INT;ja;active+draft
WP170073INT;WP210006INT;ja;active
WP170079INT;WP210001INT;ja;active
ZG10004;ZG10004T;ja;active
