Oud_artikelnummer;Vervangend_artikelnummer;Vervanger_staat_apart_in_shop;Vervanger_productstatus
3PW210067001;3PW210079901;ja;draft
3PW210067002;3PW210079902;ja;draft
3PW210067003;3PW210079903;ja;draft
3PW210067004;3PW210079904;ja;draft
3PW210067005;3PW210079905;ja;draft
3PW210067006;3PW210079906;ja;draft
3PW210067007;3PW210079907;ja;draft
3PW230003602;3AG230058002;ja;active+draft
3PW230003603;3AG230058003;ja;active+draft
3PW230003604;3AG230058004;ja;active+draft
3PW230003606;3AG230058006;ja;active+draft
3PW240069500;3AG240069800;ja;active+draft
3PW240069500;3PW240069700;ja;active
3WP210062803;3WP210078603;ja;active+draft
3WP210062804;3WP210078604;ja;active+draft
3WP210062805;3WP210078605;ja;active+draft
3WP210062806;3WP210078606;ja;active+draft
3WP210062807;3WP210078607;ja;active+draft
3WP210062902;3WP210078702;ja;active+draft
3WP210062903;3WP210078703;ja;active+draft
3WP210062905;3WP210078705;ja;active+draft
3WP210062906;3WP210078706;ja;active+draft
3WP210062907;3WP210078707;ja;active+draft
3WP210063000;3WP210078800;ja;active+draft
3WP210063001;3WP210078801;ja;active+draft
3WP210063002;3WP210078802;ja;active+draft
3WP210063003;3WP210078803;ja;active+draft
3WP210063004;3WP210078804;ja;active+draft
3WP210063005;3WP210078805;ja;active+draft
3WP210063006;3WP210078806;ja;active+draft
3WP210063007;3WP210078807;ja;active+draft
3WP210063100;3WP210078900;ja;active+draft
3WP210063101;3WP210078901;ja;active+draft
3WP210063102;3WP210078902;ja;active+draft
3WP210063103;3WP210078903;ja;active+draft
3WP210063104;3WP210078904;ja;active+draft
3WP210063105;3WP210078905;ja;active+draft
3WP210063106;3WP210078906;ja;active+draft
3WP210063107;3WP210078907;ja;active+draft
3WP210063200;3WP210079000;ja;active+draft
3WP210063201;3WP210079001;ja;active+draft
3WP210063202;3WP210079002;ja;active+draft
3WP210063203;3WP210079003;ja;active+draft
3WP210063204;3WP210079004;ja;active+draft
3WP210063205;3WP210079005;ja;active+draft
