product_id;status;title;current_handle;expected_handle;rule;variant_count;variant_skus;audit_reason;collision;collision_product_id;fixable
9640004976970;ACTIVE;ABS-SENSOR                  06 | 06;abs-sensor-06-06;60142025000;single_variant_exact_sku;1;60142025000;expected_handle_mismatch;0;;1
10056189968714;ACTIVE;Absorber Speedometer;absorber-speedometer;61614069010;single_variant_exact_sku;1;61614069010;expected_handle_mismatch;0;;1
7385448349877;ACTIVE;ABUS Granit XS Orange Brake Disc Lock;kopie-van-brake-lock;7450220;single_variant_exact_sku;1;7450220;expected_handle_mismatch;0;;1
8774891798858;DRAFT;Accelerate Curved Cap;hsq-3hs210039200;3hs210039200;single_variant_exact_sku;1;3HS210039200;expected_handle_mismatch;0;;1
8774849429834;DRAFT;Accelerate Functional Tee;hsq-3hs22002850x;3hs22002850x;multi_variant_suffix_x;6;3HS220028501,3HS220028502,3HS220028503,3HS220028504,3HS220028505,3HS220028506;expected_handle_mismatch;0;;1
8774877741386;ACTIVE;Accelerate Hardshell Jacket;hsq-3hs21003870x;3hs21003870x;multi_variant_suffix_x;6;3HS210038701,3HS210038702,3HS210038703,3HS210038704,3HS210038705,3HS210038706;expected_handle_mismatch;0;;1
8774867026250;DRAFT;Accelerate Hoodie;hsq-3hs24003410x;3hs24003410x;multi_variant_suffix_x;6;3HS240034101,3HS240034102,3HS240034103,3HS240034104,3HS240034105,3HS240034106;expected_handle_mismatch;0;;1
8774874792266;ACTIVE;Accelerate Hybrid Fleece;hsq-3hs22002890x;3hs22002890x;multi_variant_suffix_x;6;3HS220028901,3HS220028902,3HS220028903,3HS220028904,3HS220028905,3HS220028906;expected_handle_mismatch;0;;1
8774878200138;DRAFT;Accelerate Jacket;hsq-3hs21001310x;3hs21001310x;multi_variant_suffix_x;6;3HS210013101,3HS210013102,3HS210013103,3HS210013104,3HS210013105,3HS210013106;expected_handle_mismatch;0;;1
8774879379786;DRAFT;Accelerate Jacket;hsq-3hs20001150x;3hs20001150x;multi_variant_suffix_x;6;3HS200011501,3HS200011502,3HS200011503,3HS200011504,3HS200011505,3HS200011506;expected_handle_mismatch;0;;1
8774865584458;DRAFT;Accelerate Longsleeve Tee;hsq-3hs23002880x;3hs23002880x;multi_variant_suffix_x;6;3HS230028801,3HS230028802,3HS230028803,3HS230028804,3HS230028805,3HS230028806;expected_handle_mismatch;0;;1
8774884491594;DRAFT;Accelerate Shorts;hsq-3hs22002860x;3hs22002860x;multi_variant_suffix_x;6;3HS220028601,3HS220028602,3HS220028603,3HS220028604,3HS220028605,3HS220028606;expected_handle_mismatch;0;;1
8774885409098;DRAFT;Accelerate Shorts;hsq-3hs21001300x;3hs21001300x;multi_variant_suffix_x;6;3HS210013001,3HS210013002,3HS210013003,3HS210013004,3HS210013005,3HS210013006;expected_handle_mismatch;0;;1
8774885704010;DRAFT;Accelerate Shorts;hsq-3hs20001140x;3hs20001140x;multi_variant_suffix_x;6;3HS200011401,3HS200011402,3HS200011403,3HS200011404,3HS200011405,3HS200011406;expected_handle_mismatch;0;;1
10230414082378;ACTIVE;Accelerate T-shirt;hsq-3hs25002100x;3hs25002100x;multi_variant_suffix_x;6;3HS250021001,3HS250021002,3HS250021003,3HS250021004,3HS250021005,3HS250021006;expected_handle_mismatch;0;;1
8774843695434;DRAFT;Accelerate Tee;hsq-3hs24003370x;3hs24003370x;multi_variant_suffix_x;6;3HS240033701,3HS240033702,3HS240033703,3HS240033704,3HS240033705,3HS240033706;expected_handle_mismatch;0;;1
8774847496522;DRAFT;Accelerate Tee;hsq-3hs23002860x;3hs23002860x;multi_variant_suffix_x;6;3HS230028601,3HS230028602,3HS230028603,3HS230028604,3HS230028605,3HS230028606;expected_handle_mismatch;0;;1
8774853493066;DRAFT;Accelerate Tee;hsq-3hs21001290x;3hs21001290x;multi_variant_suffix_x;6;3HS210012901,3HS210012902,3HS210012903,3HS210012904,3HS210012905,3HS210012906;expected_handle_mismatch;0;;1
8774854738250;DRAFT;Accelerate Tee;hsq-3hs20001130x;3hs20001130x;multi_variant_suffix_x;6;3HS200011301,3HS200011302,3HS200011303,3HS200011304,3HS200011305,3HS200011306;expected_handle_mismatch;0;;1
8774852084042;DRAFT;Accelerate Topographic Tee;hsq-3hs21003880x;3hs21003880x;multi_variant_suffix_x;6;3HS210038801,3HS210038802,3HS210038803,3HS210038804,3HS210038805,3HS210038806;expected_handle_mismatch;0;;1
8774887047498;DRAFT;Accelerate Trucker Cap;hsq-3hs24003480x;3hs240034800;single_variant_exact_sku;1;3HS240034800;expected_handle_mismatch;0;;1
8774877184330;DRAFT;Accelerate Windbreaker;hsq-3hs22002870x;3hs22002870x;multi_variant_suffix_x;6;3HS220028701,3HS220028702,3HS220028703,3HS220028704,3HS220028705,3HS220028706;expected_handle_mismatch;0;;1
8765520838986;ACTIVE;accelerator cable cpl.;accelerator-cable-cpl;a44002091000;single_variant_exact_sku;1;A44002091000;expected_handle_mismatch;0;;1
9625435341130;ACTIVE;Accelerator cable cpl.;accelerator-cable-cpl-1;55402091000;single_variant_exact_sku;1;55402091000;expected_handle_mismatch;0;;1
8775138378058;DRAFT;Accessories Sales Workbook Enduro;hsq-hqv180012;;unknown;23;HQV180012AT,HQV180012BE-EN,HQV180012CH-DE,HQV180012CH-FR,HQV180012CH-IT,HQV180012CZ-EN,HQV180012DE,HQV180012DK-EN,HQV180012EE-EN,HQV180012ES,HQV180012FI-EN,HQV180012FR,HQV180012HU-EN,HQV180012IT,HQV180012LV-EN,HQV180012NL-EN,HQV180012NO-EN,HQV180012PL-EN,HQV180012SE-EN,HQV180012SI-EN,HQV180012SK-EN,HQV180012UK-EN,HQV180012ZA-EN;multi_variant_handle_not_suffix_x;0;;0
8774897729866;DRAFT;Accuri Goggles;hsq-3hs220039600;3hs220039600;single_variant_exact_sku;1;3HS220039600;expected_handle_mismatch;0;;1
8774897959242;DRAFT;Accuri Goggles;hsq-3hs210032400;3hs210032400;single_variant_exact_sku;1;3HS210032400;expected_handle_mismatch;0;;1
8774898614602;DRAFT;Accuri Goggles;hsq-3hs210004200;3hs210004200;single_variant_exact_sku;1;3HS210004200;expected_handle_mismatch;0;;1
8774899695946;DRAFT;Accuri Goggles;hsq-3hs1928400;3hs1928400;single_variant_exact_sku;1;3HS1928400;expected_handle_mismatch;0;;1
8774898123082;DRAFT;Accuri Mud Goggles;hsq-3hs210032500;3hs210032500;single_variant_exact_sku;1;3HS210032500;expected_handle_mismatch;0;;1
8774898483530;DRAFT;Accuri Mud Goggles;hsq-3hs210004300;3hs210004300;single_variant_exact_sku;1;3HS210004300;expected_handle_mismatch;0;;1
8774899892554;DRAFT;Accuri Mud Goggles;hsq-3hs1928300;3hs1928300;single_variant_exact_sku;1;3HS1928300;expected_handle_mismatch;0;;1
15134664786250;ACTIVE;ACF bracket;acf-bracket;61715003000;single_variant_exact_sku;1;61715003000;expected_handle_mismatch;0;;1
9648971088202;ACTIVE;Activated carbon filter;activated-carbon-filter;93015001000;single_variant_exact_sku;1;93015001000;expected_handle_mismatch;0;;1
