product_id;status;current_handle;new_handle;rule;variant_count;variant_skus
15360091423050;ACTIVE;35173214188-1633;35.173.214.18x;multi_variant_suffix_x;5;35.173.214.188,35.173.214.187,35.173.214.186,35.173.214.185,35.173.214.184
15360098468170;ACTIVE;35173014188-1701;35.173.014.18x;multi_variant_suffix_x;5;35.173.014.188,35.173.014.187,35.173.014.186,35.173.014.185,35.173.014.184
15360182878538;ACTIVE;35169514188-2617;35.169.514.18x;multi_variant_suffix_x;5;35.169.514.188,35.169.514.187,35.169.514.186,35.169.514.185,35.169.514.184
15360186286410;ACTIVE;35169314188-2685;35.169.314.18x;multi_variant_suffix_x;5;35.169.314.188,35.169.314.187,35.169.314.186,35.169.314.185,35.169.314.184
15360605585738;ACTIVE;35168114188-3025;35.168.114.18x;multi_variant_suffix_x;5;35.168.114.188,35.168.114.187,35.168.114.186,35.168.114.185,35.168.114.184
15360075202890;ACTIVE;35173614194-1499;35.173.614.19x;multi_variant_suffix_x;5;35.173.614.194,35.173.614.195,35.173.614.196,35.173.614.197,35.173.614.198
15360091619658;ACTIVE;35173214194-1635;35.173.214.19x;multi_variant_suffix_x;5;35.173.214.194,35.173.214.195,35.173.214.196,35.173.214.197,35.173.214.198
15360098828618;ACTIVE;35173014194-1703;35.173.014.19x;multi_variant_suffix_x;5;35.173.014.194,35.173.014.195,35.173.014.196,35.173.014.197,35.173.014.198
15360182944074;ACTIVE;35169514194-2619;35.169.514.19x;multi_variant_suffix_x;5;35.169.514.194,35.169.514.195,35.169.514.196,35.169.514.197,35.169.514.198
15360186417482;ACTIVE;35169314194-2687;35.169.314.19x;multi_variant_suffix_x;5;35.169.314.194,35.169.314.195,35.169.314.196,35.169.314.197,35.169.314.198
15360605782346;ACTIVE;35168114194-3027;35.168.114.19x;multi_variant_suffix_x;5;35.168.114.194,35.168.114.195,35.168.114.196,35.168.114.197,35.168.114.198
15360075858250;ACTIVE;35173614201-1501;35.173.614.20x;multi_variant_suffix_x;5;35.173.614.201,35.173.614.202,35.173.614.203,35.173.614.204,35.173.614.205
15360091783498;ACTIVE;35173214201-1637;35.173.214.20x;multi_variant_suffix_x;5;35.173.214.201,35.173.214.202,35.173.214.203,35.173.214.204,35.173.214.205
15360099090762;ACTIVE;35173014201-1705;35.173.014.20x;multi_variant_suffix_x;5;35.173.014.201,35.173.014.202,35.173.014.203,35.173.014.204,35.173.014.205
15360183009610;ACTIVE;35169514201-2621;35.169.514.20x;multi_variant_suffix_x;5;35.169.514.201,35.169.514.202,35.169.514.203,35.169.514.204,35.169.514.205
15360186515786;ACTIVE;35169314201-2689;35.169.314.20x;multi_variant_suffix_x;5;35.169.314.201,35.169.314.202,35.169.314.203,35.169.314.204,35.169.314.205
