id,handle,title,fits_on,fits_on_year,fits_on_make,fits_on_model,fits_on_year_new,fits_on_make_new,fits_on_model_new,ymm_summary,parts_compartment,parts_floor,parts_shelve,parts_list,parts_box,parts_row,global_fits_on_make_new,global_fits_on_model_new,global_fits_on_year_new,MPN
,wp-250duke2021,250 Duke 2021,"{""KTM"":{""250 DUKE"":[""2021""]}}",2021,KTM,250 DUKE,,,,KTM 250 (STREET) 2021-2021,,,,,,,,,,F4203U1
,wp-250duke2023,250 Duke 2023,"{""KTM"":{""250 DUKE"":[""2023""]}}",2023,KTM,250 DUKE,,,,KTM 250 (STREET) 2023-2023,,,,,,,,,,F4203W1
,wp-250duke2025,250 Duke 2025,"{""KTM"":{""250 DUKE"":[""2025""]}}",2025,KTM,250 DUKE,,,,KTM 250 (STREET) 2025-2025,,,,,,,,,,00JP1E09
,wp-250duke2026,250 Duke 2026,"{""KTM"":{""250 DUKE"":[""2026""]}}",2026,KTM,250 DUKE,,,,KTM 250 (STREET) 2026-2026,,,,,,,,,,F4202Z1
,wp-250dukewoabs2021,250 Duke 2021,"{""KTM"":{""250 DUKE"":[""2021""]}}",2021,KTM,250 DUKE,,,,KTM 250 (STREET) 2021-2021,,,,,,,,,,F4203U3
,wp-250exc-f2017,250 EXC-F 2017,"{""KTM"":{""250 EXC-F"":[""2017""]}}",2017,KTM,250 EXC-F,,,,KTM 250 (EXC) 2017-2017,,,,,,,,,,F8103Q9
,wp-250exc-f2018,250 EXC-F 2018,"{""KTM"":{""250 EXC-F"":[""2018""]}}",2018,KTM,250 EXC-F,,,,KTM 250 (EXC) 2018-2018,,,,,,,,,,F8103R9
,wp-250exc-f2019,250 EXC-F 2019,"{""KTM"":{""250 EXC-F"":[""2019""]}}",2019,KTM,250 EXC-F,,,,KTM 250 (EXC) 2019-2019,,,,,,,,,,F8103S9
,wp-250exc2012,250 EXC 2012,"{""KTM"":{""250 EXC"":[""2012""]}}",2012,KTM,250 EXC,,,,KTM 250 (EXC) 2012-2012,,,,,,,,,,7303L6
,wp-250exc2015,250 EXC 2015,"{""KTM"":{""250 EXC"":[""2015""]}}",2015,KTM,250 EXC,,,,KTM 250 (EXC) 2015-2015,,,,,,,,,,F7303O6
,wp-250exc2016,250 EXC 2016,"{""KTM"":{""250 EXC"":[""2016""]}}",2016,KTM,250 EXC,,,,KTM 250 (EXC) 2016-2016,,,,,,,,,,F7303P6
,wp-250exc2017,250 EXC 2017,"{""KTM"":{""250 EXC"":[""2017""]}}",2017,KTM,250 EXC,,,,KTM 250 (EXC) 2017-2017,,,,,,,,,,F7303Q6
,wp-250excf2012,250 EXC-F 2012,"{""KTM"":{""250 EXC-F"":[""2012""]}}",2012,KTM,250 EXC-F,,,,KTM 250 (EXC) 2012-2012,,,,,,,,,,8103L9
,wp-250excf2015,250 EXC-F 2015,"{""KTM"":{""250 EXC-F"":[""2015""]}}",2015,KTM,250 EXC-F,,,,KTM 250 (EXC) 2015-2015,,,,,,,,,,F8103O9
,wp-250excf2016,250 EXC-F 2016,"{""KTM"":{""250 EXC-F"":[""2016""]}}",2016,KTM,250 EXC-F,,,,KTM 250 (EXC) 2016-2016,,,,,,,,,,F8103P9
,wp-250excf2020,250 EXC-F 2020,"{""KTM"":{""250 EXC-F"":[""2020""]}}",2020,KTM,250 EXC-F,,,,KTM 250 (EXC) 2020-2020,,,,,,,,,,F8103T9
