row_kind,title,handle,status,variant_sku,product_id_numeric,variant_id_numeric,admin_url
shared_sku_peer,Red Bull KTM Carbon Keyring,3rb240060200,ACTIVE,3RB240060200,15563674648906,61426466947402,https://ktm-shop-nl.myshopify.com/admin/products/15563674648906
shared_sku_peer,Red Bull KTM Decoration Set,3rb240078600,ACTIVE,3RB240078600,15563676647754,61426471928138,https://ktm-shop-nl.myshopify.com/admin/products/15563676647754
shared_sku_peer,Red Bull KTM Drift Cross Body Bag,3rb240059900,DRAFT,3RB240059900,15563674550602,61426466783562,https://ktm-shop-nl.myshopify.com/admin/products/15563674550602
shared_sku_peer,Red Bull KTM Drift Drawstring Bag,3rb240059800,ACTIVE,3RB240059800,15563674452298,61426466521418,https://ktm-shop-nl.myshopify.com/admin/products/15563674452298
shared_sku_peer,Red Bull KTM Drift Straw Hat,3rb240064100,ACTIVE,3RB240064100,15563675959626,61426469732682,https://ktm-shop-nl.myshopify.com/admin/products/15563675959626
shared_sku_peer,Red Bull KTM Jack Miller Keyring,3rb240060400,ACTIVE,3RB240060400,15563674976586,61426467537226,https://ktm-shop-nl.myshopify.com/admin/products/15563674976586
shared_sku_peer,Red Bull KTM Logo Magnet,3rb240060600,ACTIVE,3RB240060600,15563675205962,61426467963210,https://ktm-shop-nl.myshopify.com/admin/products/15563675205962
shared_sku_peer,Red Bull KTM Offroad Curved Cap,3rb240063300,ACTIVE,3RB240063300,15563675664714,61426469110090,https://ktm-shop-nl.myshopify.com/admin/products/15563675664714
shared_sku_peer,Red Bull KTM Pitstop Fitted Cap,3rb240059000,ACTIVE,3RB240059000,15563674059082,61426465472842,https://ktm-shop-nl.myshopify.com/admin/products/15563674059082
shared_sku_peer,Red Bull KTM Rush Curved Cap,3rb240063400,ACTIVE,3RB240063400,15563675730250,61426469241162,https://ktm-shop-nl.myshopify.com/admin/products/15563675730250
shared_sku_peer,Red Bull KTM Traction Flat Cap,3rb240059200,ACTIVE,3RB240059200,15563674255690,61426465997130,https://ktm-shop-nl.myshopify.com/admin/products/15563674255690
shared_sku_peer,Red Bull KTM Turbo Trucker Cap,3rb240059100,ACTIVE,3RB240059100,15563674157386,61426465702218,https://ktm-shop-nl.myshopify.com/admin/products/15563674157386
shared_sku_peer,Red Bull KTM Winter Beanie,3rb240078500,ACTIVE,3RB240078500,15563676549450,61426471665994,https://ktm-shop-nl.myshopify.com/admin/products/15563676549450
x_single_variant,REPLICA TEAM BAJA HYDRATION BACKPACK,3rb24000170x,ACTIVE,3RB240001700,8636805185866,47522581807434,https://ktm-shop-nl.myshopify.com/admin/products/8636805185866
shared_sku_peer,REPLICA TEAM BAJA HYDRATION BACKPACK,3rb240001700,ACTIVE,3RB240001700,15563672289610,61426460393802,https://ktm-shop-nl.myshopify.com/admin/products/15563672289610
x_single_variant,REPLICA TEAM BEANIE,3rb24000340x,ACTIVE,3RB240003400,8636791914826,47522546385226,https://ktm-shop-nl.myshopify.com/admin/products/8636791914826
shared_sku_peer,REPLICA TEAM BEANIE,3rb240003400,ACTIVE,3RB240003400,15563673502026,61426463998282,https://ktm-shop-nl.myshopify.com/admin/products/15563673502026
x_single_variant,REPLICA TEAM CURVED CAP,3rb24000380x,ACTIVE,3RB240003800,8636792013130,47522546483530,https://ktm-shop-nl.myshopify.com/admin/products/8636792013130
x_single_variant,REPLICA TEAM CURVED CAP,hsq-3wp24004060x,ACTIVE,3WP240040600,9369919717706,48811126948170,https://ktm-shop-nl.myshopify.com/admin/products/9369919717706
shared_sku_peer,REPLICA TEAM CURVED CAP,wp-3wp240040600,ACTIVE,3WP240040600,9399641178442,48916980859210,https://ktm-shop-nl.myshopify.com/admin/products/9399641178442
x_single_variant,REPLICA TEAM CURVED CAP,3wp24004060x,ACTIVE,3WP240040600,9636488839498,49823199527242,https://ktm-shop-nl.myshopify.com/admin/products/9636488839498
shared_sku_peer,REPLICA TEAM CURVED CAP,3rb240003800,ACTIVE,3RB240003800,15563673665866,61426464293194,https://ktm-shop-nl.myshopify.com/admin/products/15563673665866
shared_sku_peer,Replica Team Curved Cap,3wp240040600,ACTIVE,3WP240040600,15563679564106,61426479857994,https://ktm-shop-nl.myshopify.com/admin/products/15563679564106
x_single_variant,REPLICA TEAM DAKAR HYDRATION BACKPACK,3rb24000180x,ACTIVE,3RB240001800,8636805218634,47522582004042,https://ktm-shop-nl.myshopify.com/admin/products/8636805218634
shared_sku_peer,REPLICA TEAM DAKAR HYDRATION BACKPACK,3rb240001800,ACTIVE,3RB240001800,15563672420682,61426460590410,https://ktm-shop-nl.myshopify.com/admin/products/15563672420682
x_single_variant,REPLICA TEAM ERZBERG HYDRATION PACK,3rb24000160x,ACTIVE,3RB240001600,8636805087562,47522581709130,https://ktm-shop-nl.myshopify.com/admin/products/8636805087562
shared_sku_peer,REPLICA TEAM ERZBERG HYDRATION PACK,3rb240001600,ACTIVE,3RB240001600,15563672191306,61426460164426,https://ktm-shop-nl.myshopify.com/admin/products/15563672191306
x_single_variant,REPLICA TEAM FLAT CAP,3rb24000400x,ACTIVE,3RB240004000,8636792242506,47522547007818,https://ktm-shop-nl.myshopify.com/admin/products/8636792242506
x_single_variant,REPLICA TEAM FLAT CAP,hsq-3wp24004050x,ACTIVE,3WP240040500,9369919684938,48811126915402,https://ktm-shop-nl.myshopify.com/admin/products/9369919684938
shared_sku_peer,REPLICA TEAM FLAT CAP,wp-3wp240040500,ACTIVE,3WP240040500,9399641112906,48916980728138,https://ktm-shop-nl.myshopify.com/admin/products/9399641112906
x_single_variant,REPLICA TEAM FLAT CAP,3wp24004050x,ACTIVE,3WP240040500,9636488773962,49823199232330,https://ktm-shop-nl.myshopify.com/admin/products/9636488773962
shared_sku_peer,REPLICA TEAM FLAT CAP,3rb240004000,ACTIVE,3RB240004000,15563673862474,61426464686410,https://ktm-shop-nl.myshopify.com/admin/products/15563673862474
shared_sku_peer,Replica Team Flat Cap,3wp240040500,ACTIVE,3WP240040500,15563679498570,61426479726922,https://ktm-shop-nl.myshopify.com/admin/products/15563679498570
x_single_variant,REPLICA TEAM GEAR BAG,3rb24000220x,ACTIVE,3RB240002200,8636805513546,47522582397258,https://ktm-shop-nl.myshopify.com/admin/products/8636805513546
