handle,sample_sku,sku_count
hsq-fe2502016,F2103P4,3
hsq-fe2502017,F2103Q4,3
hsq-fe2502018,F2103R4,3
hsq-fe2502019,F2103S4,3
hsq-fe2502022,2187V4_CFMOTO,3
hsq-fe2502023,2187W4_CFMOTO,3
hsq-fe2502024,2187X4_CFMOTO,3
hsq-fe3502013,F2203M3,3
hsq-fe3502014,F2203N3,3
hsq-fe3502015,F2203O4,3
hsq-fe3502016,F2203P4,3
hsq-fe3502017,F2203Q4,3
hsq-fe3502018,F2203R4,3
hsq-fe3502019,F2203S4,3
hsq-fe3502020,F2203T4,2
hsq-fe3502021,F2203U4,2
hsq-fe3502022,F2203V4,2
hsq-fe3502023,F2203W4,3
hsq-fe3502024,2288X4_FTI,4
hsq-fe3502025,F2203Y4,2
hsq-fe3502026,F2203Z4,2
hsq-fe350pro2024,F2203X5,2
hsq-fe3902010,2203J3,3
hsq-fe3902011,2203K3,3
hsq-fe3902012,2203L3,2
hsq-fe4502009,2303I3,3
hsq-fe4502010,2303J3,3
hsq-fe4502011,2303K3,3
hsq-fe4502012,2303L3,2
hsq-fe4502013,F2303M3,3
hsq-fe4502014,F2303N3,2
hsq-fe4502015,F2303O4,3
hsq-fe4502016,F2303P4,3
hsq-fe4502017,F2303Q4,3
hsq-fe4502018,F2303R4,3
hsq-fe4502019,F2303S4,3
hsq-fe4502023,F2303W4,2
hsq-fe4502024,F2303X4,2
hsq-fe4502025,F2303Y4,2
hsq-fe4502026,F2303Z4,2
hsq-fe450e2005,2303E3,3
hsq-fe450e2007,2303G3,3
hsq-fe450e2008,2303H3,3
hsq-fe450h2025,F2303Y5,2
hsq-fe5012013,F2403M3,3
hsq-fe5012014,F2403N3,3
hsq-fe5012015,F2403O4,3
hsq-fe5012016,F2403P4,3
hsq-fe5012017,F2403Q4,3
hsq-fe5012018,F2403R4,3
hsq-fe5012019,F2403S4,3
hsq-fe5012020,F2403T4,2
hsq-fe5012021,F2403U4,2
hsq-fe5012022,F2403V4,2
hsq-fe5012023,F2403W4,2
hsq-fe550e2005,2403E2,3
hsq-fe550e2006,2403F2,4
hsq-fe550e2007,2403G2,3
hsq-fe550e2008,2403H3,3
hsq-fe5702009,2403I3,3
hsq-fe5702010,2403J3,3
hsq-fe5702011,2403K3,3
hsq-fe5702012,2403L3,2
hsq-fe650c2007,2503G3,2
hsq-fe650e2005,2503E3,3
hsq-fe650e2006,2503F3,2
hsq-fe650e2008,2503H3,2
hsq-fs450e2005,2303E4,2
hsq-fs450e2006,2303F4,2
hsq-fs5702010,2403J0,2
hsq-fs5702011,2403K0,2
hsq-fs650e2005,2503E4,2
hsq-fs650e2006,2503F4,2
hsq-fs650e2007,2503G4,2
hsq-hqv180002at,HQV180002AT,23
hsq-hqv180004xx,HQV180004DE,6
hsq-hsfunct,3HS192540X,2
hsq-norden9012022,F2803V1,3
hsq-norden9012023,F2803W1,5
